size,cut_out,manufacturer,model_no,link,resistance,rms_power,sensitivity,x_max,fs,vas,qts,sealed_volume,sealed_f3,vented_volume,vented_f3,low_frequency_limit,high_frequency_limit
15,13.81,PRV Audio,15W1000,294-2741,8,500,96.5,4.5,37.68,5.94,0.67,10.58,46,17.09,24,42,3000
15,14,PRV Audio,15W1600,294-2742,8,800,100,7.6,50.47,3.1,0.36,0.8,112,2,61,50,1500
15,14.125,Peavey,15 LO MAX,294-3102,8,1200,95.1,10.2,38.5,4.38,0.39,0.99,88,2.19,52,40,400
15,13.9,B&C Speakers,15NA100,294-573,8,800,98,10,47,3.1,0.28,0.4,135,0.8,86,45,2000
15,13.94,B&C Speakers,15CXN76,294-578,8,400,99,4.5,38,8.6,0.28,1.2,106,2.38,67,40,18000
15,13.94,B&C Speakers,15HCX76,294-579,8,400,99,4.5,38,8.6,0.28,1.2,106,2.38,67,40,18000
15,13.9,B&C Speakers,15BG100,294-698,8,1000,94.5,10.5,36,2.93,0.44,1.27,64,3.36,33,35,1000
15,8,GRS,15PF-8,292-415,8,150,87,4,29,9.39,1.39,5.64,29,106,14,25,4000
12,11.06,Selenium,12MB3P,264-441,8,500,101,2.75,61,1.8,0.48,0.98,101,2.65,49,90,4000
12,11.06,Selenium,12W10P-Nd-SLF,264-445,8,350,96,3.75,62.5,1.35,0.47,0.66,107,1.77,53,50,4000
12,11,Selenium,12MG1400,264-468,8,700,99,4.5,75,1.2,0.55,1.04,109,2.32,53,150,4000
12,11.02,PRV Audio,12W700,294-2730,8,350,97,5.5,41.05,3.19,0.59,3.71,55,7.25,28,43,2800
12,11.1,PRV Audio,12MB800,294-2731,8,400,98,5.5,48.45,2.09,0.29,0.33,129,0.65,81,48,4000
12,11,PRV Audio,12MB1000,294-2732,8,500,98,5,60.56,1.33,0.35,0.29,140,0.64,83,60,3500
12,11.1,B&C Speakers,12TBX100,294-569,8,1000,95,9,42,1.3,0.26,0.15,129,0.29,83,45,1500
12,11.1,B&C Speakers,12NW100,294-571,8,1000,96,9,42,1.5,0.2,0.09,169,0.17,113,45,1500
12,11.1,B&C Speakers,12CXN76,294-576,8,350,99,4,42,4.2,0.19,0.25,172,0.46,115,45,18000
12,11.14,B&C Speakers,12HCX76,294-577,8,350,107,4,42,4.2,0.19,0.25,172,0.46,116,45,18000
12,11.1,B&C Speakers,12BG100,294-697,8,1000,93,10.5,39,1.45,0.33,0.29,93,0.62,56,40,1000
12,11.0625,GRS,12PF-8,292-412,4,120,87,3.5,35,5.28,1.54,2.92,40,73,19,35,5000
12,11.0625,GRS,12PR-8,292-422,8,100,84,3.5,32,3.36,1.26,2.72,34,31,18,30,3000
10,9.06,FaitalPRO,10FH500,294-1209,8,500,96,7.5,60,0.8,0.26,0.09,185,0.18,119,60,4000
10,9.06,FaitalPRO,10FH500,294-1210,16,500,95,7.25,65,0.68,0.4,0.22,130,0.54,71,60,4000
10,9.06,FaitalPRO,10FH520,294-1211,8,600,97,7.25,60,0.72,0.29,0.11,165,0.21,105,60,4000
10,9.06,FaitalPRO,10FH520,294-1212,16,600,96,7,65,0.7,0.41,0.24,127,0.6,68,60,4000
10,8.98,FaitalPRO,10FH530,294-1213,8,500,97,7.5,60,0.72,0.25,0.08,132,0.15,107,60,4000
10,9.25,PRV Audio,10W600,294-2720,8,300,94,5.5,57.2,0.97,0.89,2.38,55,4.89,33,56,2500
10,9.1,PRV Audio,10MB500,294-2721,8,250,97.5,4.3,48.45,1.77,0.36,0.43,107,0.99,62,50,4000
10,9.06,PRV Audio,10MB800,294-2722,8,400,95,5,59.22,1.35,0.39,0.39,123,0.93,68,59,3500
10,9.3,PRV Audio,10MR1000,294-2723,8,500,99,5,55.85,1.57,0.33,0.31,135,0.65,82,55,6000
10,8.8,B&C Speakers,10PS26,294-656,8,350,96,5.5,54,1.3,0.29,0.2,145,0.4,92,55,4000
10,9.7,B&C Speakers,10CL51,294-693,8,150,96,6,60,1.1,0.39,0.28,130,0.8,71,60,4000
10,9.25,GRS,10PF-8,292-410,4,110,87,3,43,2.27,1.27,1.87,45,21.49,24,40,5000
10,9.25,GRS,10PR-8,292-421,8,80,85,3,37,2.15,1.14,2.11,39,16.5,21,35,3000
